chain	queries	query_count	best_query	identity_percentage	alignment_length	query_start	query_end	subject_start	subject_end	e_value	bit_score	positives_percentage
Q5I4H3.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	4	GCF_000007005.1|SSO_RS00880|WP_014511501.1	38.571	350	5	351	10	344	2.99e-77	244	60
Q6FM28.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	42.56	336	23	351	28	346	3.66e-77	244	60.71
B4GIM3.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	4	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.886	351	5	351	10	344	2.04e-76	243	59.26
B9WLQ5.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	40.173	346	1	336	1	336	7.69e-77	243	60.4
C5M2X8.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	40.462	346	14	351	19	347	1.1e-76	243	60.4
Q5A6K8.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	40.549	328	14	336	19	336	9.96e-77	243	61.28
Q75DS8.2	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	40.597	335	23	351	28	345	1.05e-76	243	62.09
B3NP61.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	4	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.886	351	5	351	10	344	4.92e-76	242	59.54
B5DUR8.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	4	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.886	351	5	351	10	344	2.61e-76	242	59.26
C5DGG4.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	40.413	339	5	336	10	335	2.83e-76	242	60.18
C8BKD0.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.554	359	1	351	1	344	2.27e-76	242	63.51
D2V434.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	4	GCF_000007005.1|SSO_RS00880|WP_014511501.1	40.857	350	7	351	12	346	3.68e-76	242	58.86
B3MDA3.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	38.857	350	5	351	10	344	1.5e-75	241	59.43
D3BN56.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	41.141	333	23	351	28	346	6.01e-76	241	60.36
P39749.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.833	359	1	351	1	342	5.85e-76	241	62.95
Q178M1.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	4	GCF_000007005.1|SSO_RS00880|WP_014511501.1	38.571	350	5	351	10	344	5.27e-76	241	60.57
Q6CLH4.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	40.413	339	21	351	26	347	4.71e-76	241	60.47
Q7RME3.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	40.73	356	5	351	10	357	1.53e-74	241	58.99
Q9GZ01.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	40.169	356	5	351	10	357	6.21e-73	241	59.27
B1H158.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.276	359	1	351	1	344	2.26e-75	240	61.56
B4LM90.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.316	351	5	351	10	344	1.58e-75	240	60.11
B4P5U9.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	4	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.886	351	5	351	10	344	2.82e-75	240	58.97
C9ZKW4.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	41.194	335	23	351	28	348	2.12e-75	240	61.79
Q4XXP8.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	40.73	356	5	351	10	357	2.93e-74	240	58.71
Q7K734.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	40.169	356	5	351	10	357	1.78e-72	240	59.27
B4QIG6.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	4	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.316	351	5	351	10	344	7.81e-75	239	59.54
P70054.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.554	359	1	351	1	344	6.37e-75	239	61.28
Q4R5U5.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.833	359	1	351	1	344	6.77e-75	239	63.79
B4HTA1.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	4	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.316	351	5	351	10	344	8.98e-75	238	59.54
C4QZ20.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	40.597	335	23	351	28	348	9.19e-75	238	60.6
Q4DKQ5.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	40.698	344	14	351	19	348	1.54e-74	238	60.47
Q7K7A9.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	4	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.316	351	5	351	10	344	1e-74	238	59.54
Q9SXQ6.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	4	GCA_025839675.1|NEF87_004011|UYP47726.1	37.538	333	18	349	23	344	1.19e-74	238	61.56
P39748.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.833	359	1	351	1	344	2.29e-74	237	63.79
P70040.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	38.997	359	1	351	1	344	2.13e-74	237	61.84
Q7Q323.2	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	4	GCF_000007005.1|SSO_RS00880|WP_014511501.1	37.143	350	5	351	10	344	2.1e-74	237	61.14
A5E121.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	38.15	346	14	351	19	349	6.98e-74	236	60.12
B4KNM1.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	38.857	350	5	351	10	344	5.19e-74	236	59.14
B8AW67.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	4	GCA_025839675.1|NEF87_004011|UYP47726.1	37.237	333	18	349	23	344	4.09e-74	236	61.56
D3TQJ5.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	4	GCF_000007005.1|SSO_RS00880|WP_014511501.1	37.037	351	5	351	10	344	7.83e-74	236	59.54
Q4Z015.2	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	40.449	356	5	351	10	357	6.65e-73	236	58.43
B8MNF2.2	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	40.059	337	23	351	28	349	3.21e-73	235	59.35
A8XL25.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	38.554	332	23	351	28	344	2.85e-73	234	62.35
B4J6M4.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	38	350	5	351	10	344	2.84e-73	234	59.14
B4MR84.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	40.673	327	5	327	10	324	3.92e-73	234	60.24
C3ZBT0.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.167	360	1	351	1	344	5.72e-73	234	61.67
Q6C116.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	38.462	364	8	351	10	359	4.64e-73	234	59.07
C5YUK3.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCA_025839675.1|NEF87_004011|UYP47726.1	36.937	333	18	349	23	344	1.27e-72	233	60.66
A6ZZK4.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	4	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.412	340	5	336	10	336	4.02e-72	231	60.88
B3LQY3.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	4	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.412	340	5	336	10	336	3.89e-72	231	60.88
A8QCH0.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	4	GCF_000007005.1|SSO_RS00880|WP_014511501.1	37.604	359	1	351	1	344	1.5e-71	230	58.5
B4FHY0.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCA_025839675.1|NEF87_004011|UYP47726.1	36.637	333	18	349	23	344	1.33e-71	230	60.36
A7UW97.2	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	38.838	327	23	341	28	343	3.81e-71	229	62.08
A8J2Z9.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	36.467	351	5	351	10	346	6.74e-71	229	57.83
A9U328.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.244	344	5	344	10	339	1.71e-71	229	57.27
C7Z125.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	38.872	337	23	351	28	349	5.01e-71	229	60.83
A5DCF5.3	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	38.788	330	14	336	19	338	7.11e-71	228	58.48
B6QT52.2	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.169	337	23	351	28	349	1.13e-70	228	58.46
P39750.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	4	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.458	332	23	351	28	345	7.24e-71	228	59.94
D0MY34.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	38.162	359	8	351	17	358	2.06e-70	227	57.66
O65251.2	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	4	GCF_000007005.1|SSO_RS00880|WP_014511501.1	37.96	353	5	351	10	346	3.15e-70	227	57.51
Q9N3T2.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	37.651	332	23	351	28	344	1.75e-70	227	60.84
A4QS18.2	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	38.348	339	23	351	28	348	2.05e-69	225	61.06
A5ABU3.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	38.576	337	23	351	28	349	1.87e-69	225	59.05
C1E3X9.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	38.507	335	5	334	10	332	2.08e-69	224	56.42
Q5B9L6.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	38.872	337	23	351	28	349	4.05e-69	224	58.75
C4JDR3.2	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	38.872	337	23	351	28	349	9.35e-69	223	59.64
D1ZT73.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	37.003	327	23	341	28	343	1.87e-68	223	61.16
A9VB27.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	36.648	352	5	351	10	342	1.56e-68	222	58.52
A6QV55.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	4	GCA_000008085.1|NEQ088|AAR38943.1	38.053	339	17	337	22	349	4.51e-68	221	55.46
C6HQJ2.2	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	4	GCA_000008085.1|NEQ088|AAR38943.1	38.053	339	17	337	22	349	4.41e-68	221	55.46
C6TEX6.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	4	GCF_000007005.1|SSO_RS00880|WP_014511501.1	37.394	353	5	351	10	346	6.52e-68	221	56.94
