sequence_id	protein_id	gene_id	assembly_id	organism	taxid	cog_id	protein_length	cog_footprint	cog_footprint_length	membership_class	membership_description	bit_score	e_value	cog_profile_length	profile_footprint	protein_coverage	profile_coverage	length_outlier	x_fraction	qc_flags	qc_status
GCF_000012525.1|SYNPCC7942_RS00985|WP_011377486.1	WP_011377486.1	SYNPCC7942_RS00985	GCF_000012525.1	Synechococcus elongatus PCC 7942 = FACHB-805	1140	COG0258	953	1-326	326	1	most of COG profile + part of protein	247.0	8.27e-75	310	6-308	0.3421	0.9774	false	0.0000		keep
GCF_000013085.1|RRU_RS18155|WP_011391261.1	WP_011391261.1	RRU_RS18155	GCF_000013085.1	Rhodospirillum rubrum ATCC 11170	269796	COG0258	924	1-299	299	1	most of COG profile + part of protein	266.0	6.18e-82	310	7-307	0.3236	0.9710	false	0.0000		keep
GCF_001267435.1|MOTHA_RS09510|WP_011393341.1	WP_011393341.1	MOTHA_RS09510	GCF_001267435.1	Moorella thermoacetica	1525	COG0258	885	1-305	305	1	most of COG profile + part of protein	265.0	6.97e-82	310	6-307	0.3446	0.9742	false	0.0000		keep
GCF_000013405.1|SYN_RS02795|WP_011416497.1	WP_011416497.1	SYN_RS02795	GCF_000013405.1	Syntrophus aciditrophicus SB	56780	COG0258	901	1-301	301	1	most of COG profile + part of protein	269.0	2.67e-83	310	5-302	0.3341	0.9613	false	0.0000		keep
GCF_000014005.1|ACID345_RS12495|WP_011523226.1	WP_011523226.1	ACID345_RS12495	GCF_000014005.1	Candidatus Koribacter versatilis Ellin345	204669	COG0258	300	1-300	300	0	most of protein + most of COG profile	119.0	2.57e-31	310	12-292	1.0000	0.9065	false	0.0000		keep
GCF_000014005.1|ACID345_RS23315|WP_011525276.1	WP_011525276.1	ACID345_RS23315	GCF_000014005.1	Candidatus Koribacter versatilis Ellin345	204669	COG0258	929	1-348	348	1	most of COG profile + part of protein	222.0	8.19e-66	310	11-303	0.3746	0.9452	false	0.0000		keep
GCF_000012685.1|MXAN_RS01640|WP_011550473.1	WP_011550473.1	MXAN_RS01640	GCF_000012685.1	Myxococcus xanthus DK 1622	246197	COG0258	294	1-294	294	0	most of protein + most of COG profile	150.0	2.03e-43	310	12-296	1.0000	0.9194	false	0.0000		keep
GCF_000012685.1|MXAN_RS15070|WP_011553159.1	WP_011553159.1	MXAN_RS15070	GCF_000012685.1	Myxococcus xanthus DK 1622	246197	COG0258	908	1-306	306	1	most of COG profile + part of protein	240.0	2.26e-72	310	4-300	0.3370	0.9581	false	0.0000		keep
GCF_000014145.1|CHU_RS17755|WP_011586995.1	WP_011586995.1	CHU_RS17755	GCF_000014145.1	Cytophaga hutchinsonii ATCC 33406	269798	COG0258	946	1-321	321	1	most of COG profile + part of protein	246.0	1.24e-74	310	10-307	0.3393	0.9613	false	0.0000		keep
GCF_000014745.1|MMAR10_RS00080|WP_011641959.1	WP_011641959.1	MMAR10_RS00080	GCF_000014745.1	Maricaulis maris MCS10	394221	COG0258	928	1-309	309	1	most of COG profile + part of protein	271.0	8.08e-84	310	4-304	0.3330	0.9710	false	0.0000		keep
GCF_000014965.1|SFUM_RS08335|WP_011698469.1	WP_011698469.1	SFUM_RS08335	GCF_000014965.1	Syntrophobacter fumaroxidans MPOB	335543	COG0258	902	1-300	300	1	most of COG profile + part of protein	249.0	5.26e-76	310	6-303	0.3326	0.9613	false	0.0000		keep
GCF_000014865.1|MMC1_RS16690|WP_011714813.1	WP_011714813.1	MMC1_RS16690	GCF_000014865.1	Magnetococcus marinus MC-1	156889	COG0258	911	1-301	301	1	most of COG profile + part of protein	268.0	8.22e-83	310	12-307	0.3304	0.9548	false	0.0000		keep
GCF_000015025.1|ACEL_RS05600|WP_011719923.1	WP_011719923.1	ACEL_RS05600	GCF_000015025.1	Acidothermus cellulolyticus 11B	351607	COG0258	910	1-318	318	1	most of COG profile + part of protein	259.0	2.31e-79	310	9-307	0.3495	0.9645	false	0.0000		keep
GCF_000016545.1|CSAC_RS10040|WP_011917508.1	WP_011917508.1	CSAC_RS10040	GCF_000016545.1	Caldicellulosiruptor saccharolyticus DSM 8903	351627	COG0258	849	1-285	285	1	most of COG profile + part of protein	261.0	7.8e-81	310	12-307	0.3357	0.9548	false	0.0000		keep
GCF_000017945.1|IGNI_RS03580|WP_011998725.1	WP_011998725.1	IGNI_RS03580	GCF_000017945.1	Ignicoccus hospitalis KIN4/I	453591	COG0258	350	1-350	350	0	most of protein + most of COG profile	184.0	8.17e-56	310	1-310	1.0000	1.0000	false	0.0000		keep
GCF_000016645.1|FJOH_RS08375|WP_012023693.1	WP_012023693.1	FJOH_RS08375	GCF_000016645.1	Flavobacterium johnsoniae UW101	376686	COG0258	949	1-322	322	1	most of COG profile + part of protein	229.0	2.61e-68	310	7-307	0.3393	0.9710	false	0.0000		keep
GCF_000063585.1|CBO_RS14780|WP_012048038.1	WP_012048038.1	CBO_RS14780	GCF_000063585.1	Clostridium botulinum A str. ATCC 3502	413999	COG0258	875	1-299	299	1	most of COG profile + part of protein	262.0	6.35e-81	310	8-300	0.3417	0.9452	false	0.0000		keep
GCF_000018685.1|CPHY_RS14455|WP_012200814.1	WP_012200814.1	CPHY_RS14455	GCF_000018685.1	Lachnoclostridium phytofermentans ISDg	357809	COG0258	994	1-386	386	1	most of COG profile + part of protein	166.0	5.9e-46	310	5-308	0.3883	0.9806	false	0.0000		keep
GCF_000018605.1|PMOB_RS00385|WP_012207933.1	WP_012207933.1	PMOB_RS00385	GCF_000018605.1	Petrotoga mobilis SJ95	403833	COG0258	896	1-306	306	1	most of COG profile + part of protein	241.0	8.45e-73	310	10-298	0.3415	0.9323	false	0.0000		keep
GCF_000018465.1|NMAR_RS03765|WP_012215086.1	WP_012215086.1	NMAR_RS03765	GCF_000018465.1	Nitrosopumilus maritimus SCM1	436308	COG0258	340	1-340	340	0	most of protein + most of COG profile	145.0	6.6e-41	310	1-309	1.0000	0.9968	false	0.0000		keep
GCF_000019605.1|KCR_RS07330|WP_012310045.1	WP_012310045.1	KCR_RS07330	GCF_000019605.1	Candidatus Korarchaeum cryptofilum OPF8	374847	COG0258	342	1-342	342	0	most of protein + most of COG profile	150.0	7.41e-43	310	3-309	1.0000	0.9903	false	0.0000		keep
GCF_000019965.1|OTER_RS14455|WP_012375669.1	WP_012375669.1	OTER_RS14455	GCF_000019965.1	Opitutus terrae PB90-1	452637	COG0258	320	1-320	320	1	most of COG profile + part of protein	206.0	2.06e-64	310	10-261	1.0000	0.8129	false	0.0000		keep
GCF_000020025.1|NPUN_RS31495|WP_012412423.1	WP_012412423.1	NPUN_RS31495	GCF_000020025.1	Nostoc punctiforme PCC 73102	63737	COG0258	978	1-338	338	1	most of COG profile + part of protein	256.0	5.41e-78	310	4-308	0.3456	0.9839	false	0.0000		keep
GCF_000020145.1|EMIN_RS02570|WP_012414668.1	WP_012414668.1	EMIN_RS02570	GCF_000020145.1	Elusimicrobium minutum Pei191	445932	COG0258	862	1-296	296	1	most of COG profile + part of protein	200.0	4.9e-58	310	6-301	0.3434	0.9548	false	0.0000		keep
GCF_000020225.1|AMUC_RS10340|WP_012420965.1	WP_012420965.1	AMUC_RS10340	GCF_000020225.1	Akkermansia muciniphila ATCC BAA-835	349741	COG0258	945	1-327	327	1	most of COG profile + part of protein	250.0	4.41e-76	310	5-307	0.3460	0.9774	false	0.0000		keep
GCF_000020005.1|NTHER_RS09580|WP_012448327.1	WP_012448327.1	NTHER_RS09580	GCF_000020005.1	Natranaerobius thermophilus JW/NM-WN-LF	457570	COG0258	930	1-317	317	1	most of COG profile + part of protein	233.0	1.11e-69	310	11-307	0.3409	0.9581	false	0.0000		keep
GCF_000019665.1|MINF_RS02175|WP_012462826.1	WP_012462826.1	MINF_RS02175	GCF_000019665.1	Methylacidiphilum infernorum V4	481448	COG0258	296	1-296	296	0	most of protein + most of COG profile	209.0	5.56e-66	310	12-300	1.0000	0.9323	false	0.0000		keep
GCF_000020625.1|PAES_RS02465|WP_012505087.1	WP_012505087.1	PAES_RS02465	GCF_000020625.1	Prosthecochloris aestuarii DSM 271	290512	COG0258	950	1-340	340	1	most of COG profile + part of protein	234.0	5.97e-70	310	5-303	0.3579	0.9645	false	0.0000		keep
GCF_000020945.1|COPRO5265_RS03365|WP_012544116.1	WP_012544116.1	COPRO5265_RS03365	GCF_000020945.1	Coprothermobacter proteolyticus DSM 5265	309798	COG0258	370	1-276	276	1	most of COG profile + part of protein	174.0	1.19e-51	310	10-308	0.7459	0.9645	false	0.0000		keep
GCF_000020985.1|THEYE_RS07345|WP_012545544.1	WP_012545544.1	THEYE_RS07345	GCF_000020985.1	Thermodesulfovibrio yellowstonii DSM 11347	289376	COG0258	838	1-287	287	1	most of COG profile + part of protein	232.0	6.15e-70	310	10-297	0.3425	0.9290	false	0.0000		keep
GCF_000020965.1|DICTH_RS03485|WP_012547156.1	WP_012547156.1	DICTH_RS03485	GCF_000020965.1	Dictyoglomus thermophilum H-6-12	309799	COG0258	856	1-300	300	1	most of COG profile + part of protein	199.0	1.05e-57	310	3-304	0.3505	0.9742	false	0.0000		keep
GCF_000021685.1|TRD_RS03210|WP_012642091.1	WP_012642091.1	TRD_RS03210	GCF_000021685.1	Thermomicrobium roseum DSM 5159	309801	COG0258	917	1-304	304	1	most of COG profile + part of protein	274.0	6.07e-85	310	4-303	0.3315	0.9677	false	0.0000		keep
GCF_000010305.1|GAU_RS00055|WP_012681500.1	WP_012681500.1	GAU_RS00055	GCF_000010305.1	Gemmatimonas aurantiaca T-27	379066	COG0258	984	1-328	328	1	most of COG profile + part of protein	240.0	3.87e-72	310	10-298	0.3333	0.9323	false	0.0000		keep
GCF_000023325.1|KOLE_RS01155|WP_012744738.1	WP_012744738.1	KOLE_RS01155	GCF_000023325.1	Kosmotoga olearia TBF 19.5.1	521045	COG0258	896	1-299	299	1	most of COG profile + part of protein	233.0	8.57e-70	310	10-310	0.3337	0.9710	false	0.0000		keep
GCF_000024945.1|VPAR_RS03925|WP_012864251.1	WP_012864251.1	VPAR_RS03925	GCF_000024945.1	Veillonella parvula DSM 2008	479436	COG0258	873	1-296	296	1	most of COG profile + part of protein	260.0	3.95e-80	310	10-308	0.3391	0.9645	false	0.0000		keep
GCF_000025505.1|FERP_RS06520|WP_012965809.1	WP_012965809.1	FERP_RS06520	GCF_000025505.1	Ferroglobus placidus DSM 10642	589924	COG0258	336	1-336	336	0	most of protein + most of COG profile	177.0	5.56e-53	310	1-309	1.0000	0.9968	false	0.0000		keep
GCF_000025485.1|ALVIN_RS07355|WP_012970696.1	WP_012970696.1	ALVIN_RS07355	GCF_000025485.1	Allochromatium vinosum DSM 180	572477	COG0258	911	1-301	301	1	most of COG profile + part of protein	271.0	4.81e-84	310	7-300	0.3304	0.9484	false	0.0000		keep
GCF_000025645.1|THIT_RS04055|WP_012994894.1	WP_012994894.1	THIT_RS04055	GCF_000025645.1	Thermoanaerobacter italicus Ab9	580331	COG0258	872	1-292	292	1	most of COG profile + part of protein	269.0	1.37e-83	310	10-307	0.3349	0.9613	false	0.0000		keep
GCF_000010985.1|DEFDS_RS09930|WP_013008663.1	WP_013008663.1	DEFDS_RS09930	GCF_000010985.1	Deferribacter desulfuricans SSM1	639282	COG0258	789	1-283	283	1	most of COG profile + part of protein	186.0	4.9e-53	310	13-300	0.3587	0.9290	false	0.0000		keep
GCF_000091125.1|SJA_RS15695|WP_013041394.1	WP_013041394.1	SJA_RS15695	GCF_000091125.1	Sphingobium indicum UT26S	452662	COG0258	928	1-309	309	1	most of COG profile + part of protein	252.0	9.03e-77	310	11-294	0.3330	0.9161	false	0.0000		keep
GCF_000024465.1|SAR116_RS02000|WP_013045263.1	WP_013045263.1	SAR116_RS02000	GCF_000024465.1	Candidatus Puniceispirillum marinum IMCC1322	488538	COG0258	242	1-242	242	2	most of protein + part of COG profile	67.4	8.78e-13	310	47-248	1.0000	0.6516	false	0.0000	membership_class_2	review
GCF_000021865.1|RCAP_RS12280|WP_013068189.1	WP_013068189.1	RCAP_RS12280	GCF_000021865.1	Rhodobacter capsulatus SB 1003	272942	COG0258	950	1-317	317	1	most of COG profile + part of protein	269.0	5.65e-83	310	12-305	0.3337	0.9484	false	0.0000		keep
GCF_000092425.1|TRAD_RS11795|WP_013178840.1	WP_013178840.1	TRAD_RS11795	GCF_000092425.1	Truepera radiovictrix DSM 17093	649638	COG0258	867	1-346	346	1	most of COG profile + part of protein	240.0	1.19e-72	310	12-298	0.3991	0.9258	false	0.0000		keep
GCF_000143965.1|DEBA_RS13555|WP_013259515.1	WP_013259515.1	DEBA_RS13555	GCF_000143965.1	Desulfarculus baarsii DSM 2075	644282	COG0258	890	1-293	293	1	most of COG profile + part of protein	254.0	9.91e-78	310	7-299	0.3292	0.9452	false	0.0000		keep
GCF_000144915.1|ASAC_RS02085|WP_013266323.1	WP_013266323.1	ASAC_RS02085	GCF_000144915.1	Acidilobus saccharovorans 345-15	666510	COG0258	350	1-350	350	0	most of protein + most of COG profile	164.0	4.45e-48	310	1-309	1.0000	0.9968	false	0.0000		keep
GCF_000152825.2|PB2503_RS03875|WP_013299917.1	WP_013299917.1	PB2503_RS03875	GCF_000152825.2	Parvularcula bermudensis HTCC2503	314260	COG0258	940	1-323	323	1	most of COG profile + part of protein	269.0	3.91e-83	310	3-299	0.3436	0.9581	false	0.0000		keep
GCF_000147335.1|CYAN7822_RS03425|WP_013320847.1	WP_013320847.1	CYAN7822_RS03425	GCF_000147335.1	Gloeothece verrucosa PCC 7822	497965	COG0258	966	1-331	331	1	most of COG profile + part of protein	241.0	1.85e-72	310	13-303	0.3427	0.9387	false	0.0000		keep
GCF_000166415.1|HALSA_RS08930|WP_013406247.1	WP_013406247.1	HALSA_RS08930	GCF_000166415.1	Halanaerobium hydrogeniformans	656519	COG0258	880	1-303	303	1	most of COG profile + part of protein	253.0	2.51e-77	310	6-309	0.3443	0.9806	false	0.0000		keep
GCF_000166095.1|MFER_RS04910|WP_013414041.1	WP_013414041.1	MFER_RS04910	GCF_000166095.1	Methanothermus fervidus DSM 2088	523846	COG0258	327	1-327	327	0	most of protein + most of COG profile	167.0	1.55e-49	310	2-309	1.0000	0.9935	false	0.0000		keep
GCF_000177635.2|SELIN_RS08435|WP_013506244.1	WP_013506244.1	SELIN_RS08435	GCF_000177635.2	Desulfurispirillum indicum S5	653733	COG0258	881	1-292	292	1	most of COG profile + part of protein	253.0	2.65e-77	310	12-297	0.3314	0.9226	false	0.0000		keep
GCF_000199675.1|ANT_RS15130|WP_013561401.1	WP_013561401.1	ANT_RS15130	GCF_000199675.1	Anaerolinea thermophila UNI-1	926569	COG0258	938	1-315	315	1	most of COG profile + part of protein	262.0	2.41e-80	310	13-300	0.3358	0.9290	false	0.0000		keep
GCF_000191045.1|DESTER_RS01765|WP_013637959.1	WP_013637959.1	DESTER_RS01765	GCF_000191045.1	Desulfurobacterium thermolithotrophum DSM 11699	868864	COG0258	838	1-288	288	1	most of COG profile + part of protein	248.0	7.47e-76	310	8-300	0.3437	0.9452	false	0.0000		keep
GCF_000191585.1|METBO_RS10220|WP_013645638.1	WP_013645638.1	METBO_RS10220	GCF_000191585.1	Methanobacterium lacus	877455	COG0258	328	1-328	328	0	most of protein + most of COG profile	149.0	2.12e-42	310	1-309	1.0000	0.9968	false	0.0000		keep
GCF_000195085.1|SAR11G3_RS01425|WP_013694950.1	WP_013694950.1	SAR11G3_RS01425	GCF_000195085.1	Candidatus Pelagibacter sp. IMCC9063	1002672	COG0258	939	1-318	318	1	most of COG profile + part of protein	261.0	4.26e-80	310	5-299	0.3387	0.9516	false	0.0000		keep
GCF_000195295.1|DESAC_RS00860|WP_013705183.1	WP_013705183.1	DESAC_RS00860	GCF_000195295.1	Desulfobacca acetoxidans DSM 11109	880072	COG0258	896	1-304	304	1	most of COG profile + part of protein	258.0	2.84e-79	310	1-298	0.3393	0.9613	false	0.0000		keep
GCF_000195315.1|CORGL_RS06190|WP_013709055.1	WP_013709055.1	CORGL_RS06190	GCF_000195315.1	Coriobacterium glomerans PW2	700015	COG0258	942	1-349	349	1	most of COG profile + part of protein	256.0	3.07e-78	310	10-297	0.3705	0.9290	false	0.0000		keep
GCF_000212395.1|THENA_RS04540|WP_013756243.1	WP_013756243.1	THENA_RS04540	GCF_000212395.1	Thermodesulfobium narugense DSM 14796	747365	COG0258	296	1-296	296	0	most of protein + most of COG profile	223.0	2.38e-71	310	3-299	1.0000	0.9581	false	0.0000		keep
GCF_000270085.1|ERH_RS05135|WP_013853059.1	WP_013853059.1	ERH_RS05135	GCF_000270085.1	Erysipelothrix rhusiopathiae str. Fujisawa	650150	COG0258	833	1-289	289	1	most of COG profile + part of protein	238.0	5.93e-72	310	10-308	0.3469	0.9645	false	0.0000		keep
GCF_000179575.2|METOK_RS06295|WP_013867384.1	WP_013867384.1	METOK_RS06295	GCF_000179575.2	Methanothermococcus okinawensis IH1	647113	COG0258	324	1-324	324	0	most of protein + most of COG profile	156.0	5.4e-45	310	1-309	1.0000	0.9968	false	0.0000		keep
GCF_000217795.1|THEIN_RS08755|WP_013908316.1	WP_013908316.1	THEIN_RS08755	GCF_000217795.1	Thermodesulfatator indicus DSM 15286	667014	COG0258	903	1-304	304	1	most of COG profile + part of protein	257.0	8.22e-79	310	1-308	0.3367	0.9935	false	0.0000		keep
GCF_000253295.1|HYPMC_RS18085|WP_013949514.1	WP_013949514.1	HYPMC_RS18085	GCF_000253295.1	Hyphomicrobium sp. MC1	717785	COG0258	993	1-341	341	1	most of COG profile + part of protein	260.0	2.37e-79	310	3-307	0.3434	0.9839	false	0.0000		keep
GCF_000226295.1|CABTHER_RS10470|WP_014100612.1	WP_014100612.1	CABTHER_RS10470	GCF_000226295.1	Chloracidobacterium thermophilum B	981222	COG0258	890	1-304	304	1	most of COG profile + part of protein	235.0	1.27e-70	310	8-304	0.3416	0.9581	false	0.0000		keep
GCF_000253055.1|TTX_RS02240|WP_014126377.1	WP_014126377.1	TTX_RS02240	GCF_000253055.1	Thermoproteus tenax Kra 1	768679	COG0258	346	1-346	346	0	most of protein + most of COG profile	196.0	3.07e-60	310	1-309	1.0000	0.9968	false	0.0000		keep
GCF_000233775.1|TLIE_RS06205|WP_014163346.1	WP_014163346.1	TLIE_RS06205	GCF_000233775.1	Thermovirga lienii DSM 17291	580340	COG0258	849	1-299	299	1	most of COG profile + part of protein	238.0	7.75e-72	310	13-307	0.3522	0.9516	false	0.0000		keep
GCF_000284095.1|SELR_RS07700|WP_014424648.1	WP_014424648.1	SELR_RS07700	GCF_000284095.1	Selenomonas ruminantium subsp. lactilytica TAM6421	927704	COG0258	869	1-298	298	1	most of COG profile + part of protein	248.0	9e-76	310	12-307	0.3429	0.9548	false	0.0000		keep
GCF_000284335.1|CSE_RS04430|WP_014453444.1	WP_014453444.1	CSE_RS04430	GCF_000284335.1	Caldisericum exile AZM16c01	511051	COG0258	852	1-290	290	1	most of COG profile + part of protein	233.0	2.98e-70	310	10-298	0.3404	0.9323	false	0.0000		keep
GCF_000007005.1|SSO_RS00880|WP_014511501.1	WP_014511501.1	SSO_RS00880	GCF_000007005.1	Saccharolobus solfataricus P2	273057	COG0258	351	1-351	351	0	most of protein + most of COG profile	181.0	2.05e-54	310	1-309	1.0000	0.9968	false	0.0000		keep
GCF_000024665.1|FISUC_RS03935|WP_014545545.1	WP_014545545.1	FISUC_RS03935	GCF_000024665.1	Fibrobacter succinogenes subsp. succinogenes S85	59374	COG0258	972	1-318	318	1	most of COG profile + part of protein	231.0	3.95e-69	310	10-304	0.3272	0.9516	false	0.0000		keep
GCF_000258405.1|IALB_RS07590|WP_014560391.1	WP_014560391.1	IALB_RS07590	GCF_000258405.1	Ignavibacterium album JCM 16511	945713	COG0258	922	1-308	308	1	most of COG profile + part of protein	245.0	3.26e-74	310	8-300	0.3341	0.9452	false	0.0000		keep
GCF_000264455.2|TMO_RS16185|WP_014746726.1	WP_014746726.1	TMO_RS16185	GCF_000264455.2	Tistrella mobilis KA081020-065	1110502	COG0258	938	1-308	308	1	most of COG profile + part of protein	261.0	4.21e-80	310	8-305	0.3284	0.9613	false	0.0000		keep
GCF_000266945.1|DESTI_RS12835|WP_014810398.1	WP_014810398.1	DESTI_RS12835	GCF_000266945.1	Desulfomonile tiedjei DSM 6799	706587	COG0258	888	1-294	294	1	most of COG profile + part of protein	285.0	1.99e-89	310	6-301	0.3311	0.9548	false	0.0000		keep
GCF_000172635.2|MASE_RS00080|WP_014947723.1	WP_014947723.1	MASE_RS00080	GCF_000172635.2	Alteromonas macleodii ATCC 27126	529120	COG0258	930	1-314	314	1	most of COG profile + part of protein	260.0	7.82e-80	310	5-303	0.3376	0.9645	false	0.0000		keep
GCF_000317025.1|PLE7327_RS03740|WP_015142527.1	WP_015142527.1	PLE7327_RS03740	GCF_000317025.1	Pleurocapsa sp. PCC 7327	118163	COG0258	974	1-339	339	1	most of COG profile + part of protein	252.0	1.61e-76	310	7-302	0.3480	0.9548	false	0.0000		keep
GCF_000317125.1|CHRO_RS02435|WP_015152587.1	WP_015152587.1	CHRO_RS02435	GCF_000317125.1	Chroococcidiopsis thermalis PCC 7203	251229	COG0258	999	1-349	349	1	most of COG profile + part of protein	243.0	2.42e-73	310	9-310	0.3493	0.9742	false	0.0000		keep
GCF_000317145.1|CHA6605_RS16720|WP_015160588.1	WP_015160588.1	CHA6605_RS16720	GCF_000317145.1	Chamaesiphon minutus PCC 6605	1173020	COG0258	975	1-332	332	1	most of COG profile + part of protein	243.0	2e-73	310	7-303	0.3405	0.9581	false	0.0000		keep
GCF_000317065.1|PSE7367_RS09250|WP_015165101.1	WP_015165101.1	PSE7367_RS09250	GCF_000317065.1	Pseudanabaena sp. PCC 7367	82654	COG0258	972	1-328	328	1	most of COG profile + part of protein	226.0	6.3e-67	310	11-307	0.3374	0.9581	false	0.0000		keep
GCF_000317515.1|MIC7113_RS34810|WP_015183101.1	WP_015183101.1	MIC7113_RS34810	GCF_000317515.1	Allocoleopsis franciscana PCC 7113	1173027	COG0258	1095	1-330	330	1	most of COG profile + part of protein	228.0	2.46e-67	310	9-302	0.3014	0.9484	false	0.0000		keep
GCF_000146065.2|CLOAM_RS06440|WP_015425076.1	WP_015425076.1	CLOAM_RS06440	GCF_000146065.2	Candidatus Cloacimonas acidaminovorans str. Evry	459349	COG0258	918	1-307	307	1	most of COG profile + part of protein	245.0	3.21e-74	310	12-298	0.3344	0.9258	false	0.0000		keep
GCF_000392435.1|L336_RS03035|WP_015641749.1	WP_015641749.1	L336_RS03035	GCF_000392435.1	Candidatus Saccharimonas aalborgensis	1332188	COG0258	844	1-289	289	1	most of COG profile + part of protein	238.0	3.84e-72	310	11-305	0.3424	0.9516	false	0.0000		keep
GCF_000250635.1|SGRA_RS16100|WP_015693849.1	WP_015693849.1	SGRA_RS16100	GCF_000250635.1	Saprospira grandis str. Lewin	984262	COG0258	927	1-314	314	1	most of COG profile + part of protein	255.0	8.79e-78	310	11-305	0.3387	0.9516	false	0.0000		keep
GCF_000023905.1|LEBU_RS04055|WP_015769061.1	WP_015769061.1	LEBU_RS04055	GCF_000023905.1	Leptotrichia buccalis C-1013-b	523794	COG0258	1046	1-303	303	1	most of COG profile + part of protein	220.0	6.6e-65	310	10-303	0.2897	0.9484	false	0.0000		keep
GCF_000024085.1|KKOR_RS12520|WP_015781507.1	WP_015781507.1	KKOR_RS12520	GCF_000024085.1	Kangiella koreensis DSM 16069	523791	COG0258	915	1-306	306	1	most of COG profile + part of protein	280.0	3.6e-87	310	6-303	0.3344	0.9613	false	0.0000		keep
GCF_000023265.1|AFER_RS05535|WP_015798500.1	WP_015798500.1	AFER_RS05535	GCF_000023265.1	Acidimicrobium ferrooxidans DSM 10331	525909	COG0258	886	1-315	315	1	most of COG profile + part of protein	219.0	4.57e-65	310	23-307	0.3555	0.9194	false	0.0000		keep
GCF_000021725.1|NAMH_RS01845|WP_015902815.1	WP_015902815.1	NAMH_RS01845	GCF_000021725.1	Nautilia profundicola AmH	598659	COG0258	872	1-296	296	1	most of COG profile + part of protein	221.0	9.6e-66	310	12-299	0.3394	0.9290	false	0.0000		keep
GCF_000021945.1|CAGG_RS17845|WP_015942274.1	WP_015942274.1	CAGG_RS17845	GCF_000021945.1	Chloroflexus aggregans DSM 9485	326427	COG0258	936	1-318	318	1	most of COG profile + part of protein	258.0	3.52e-79	310	10-309	0.3397	0.9677	false	0.0000		keep
GCF_000021905.1|DALK_RS14175|WP_015947509.1	WP_015947509.1	DALK_RS14175	GCF_000021905.1	Desulfatibacillum aliphaticivorans	218208	COG0258	889	1-290	290	1	most of COG profile + part of protein	284.0	4.39e-89	310	10-309	0.3262	0.9677	false	0.0000		keep
GCF_002142475.1|LBWT_RS25120|WP_017286144.1	WP_017286144.1	LBWT_RS25120	GCF_002142475.1	Leptolyngbya boryana IAM M-101	411966	COG0258	965	1-331	331	1	most of COG profile + part of protein	248.0	3.56e-75	310	5-299	0.3430	0.9516	false	0.0000		keep
GCF_000446015.1|N186_RS02430|WP_020962188.1	WP_020962188.1	N186_RS02430	GCF_000446015.1	Thermofilum adornatum	1365176	COG0258	346	1-346	346	0	most of protein + most of COG profile	161.0	1.22e-46	310	1-309	1.0000	0.9968	false	0.0000		keep
GCF_000446015.1|N186_RS03045|WP_020962307.1	WP_020962307.1	N186_RS03045	GCF_000446015.1	Thermofilum adornatum	1365176	COG0258	340	1-340	340	0	most of protein + most of COG profile	150.0	5.98e-43	310	1-298	1.0000	0.9613	false	0.0000		keep
GCF_000513475.1|BABL1_RS05270|WP_023792614.1	WP_023792614.1	BABL1_RS05270	GCF_000513475.1	Candidatus Babela massiliensis	673862	COG0258	912	1-303	303	1	most of COG profile + part of protein	199.0	1.47e-57	310	7-301	0.3322	0.9516	false	0.0000		keep
GCF_000006905.1|CC_RS18075|WP_024265962.1	WP_024265962.1	CC_RS18075	GCF_000006905.1	Caulobacter vibrioides CB15	190650	COG0258	963	1-332	332	1	most of COG profile + part of protein	282.0	9.62e-88	310	12-310	0.3448	0.9645	false	0.0000		keep
GCF_000724625.1|OP10G_RS08420|WP_025226330.1	WP_025226330.1	OP10G_RS08420	GCF_000724625.1	Fimbriimonas ginsengisoli Gsoil 348	661478	COG0258	870	1-302	302	1	most of COG profile + part of protein	240.0	1.47e-72	310	10-306	0.3471	0.9581	false	0.0000		keep
GCF_000724625.1|OP10G_RS21180|WP_025228434.1	WP_025228434.1	OP10G_RS21180	GCF_000724625.1	Fimbriimonas ginsengisoli Gsoil 348	661478	COG0258	281	1-281	281	0	most of protein + most of COG profile	172.0	6.63e-52	310	9-300	1.0000	0.9419	false	0.0000		keep
GCF_000597865.1|EAL2_RS05670|WP_025435436.1	WP_025435436.1	EAL2_RS05670	GCF_000597865.1	Peptoclostridium acidaminophilum DSM 3953	1286171	COG0258	883	1-323	323	1	most of COG profile + part of protein	258.0	3.38e-79	310	10-300	0.3658	0.9387	false	0.0000		keep
GCF_003546465.1|DM41_RS34015|WP_027791074.1	WP_027791074.1	DM41_RS34015	GCF_003546465.1	Burkholderia cepacia ATCC 25416	983594	COG0258	917	1-309	309	1	most of COG profile + part of protein	264.0	2.22e-81	310	11-303	0.3370	0.9452	false	0.0000		keep
GCF_000008565.1|DR_RS08720|WP_034351289.1	WP_034351289.1	DR_RS08720	GCF_000008565.1	Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539	243230	COG0258	921	1-302	302	1	most of COG profile + part of protein	239.0	6.56e-72	310	1-306	0.3279	0.9871	false	0.0000		keep
GCF_900637305.1|EL199_RS03530|WP_040354311.1	WP_040354311.1	EL199_RS03530	GCF_900637305.1	Cardiobacterium hominis	2718	COG0258	926	1-302	302	1	most of COG profile + part of protein	249.0	7.36e-76	310	13-300	0.3261	0.9290	false	0.0000		keep
